,equity_usd
2022-02-09 00:00:00+00:00,149844.29603084814
2022-02-10 00:00:00+00:00,149982.5878286053
2022-02-11 00:00:00+00:00,149955.8563037811
2022-02-14 00:00:00+00:00,149897.43898679604
2022-02-15 00:00:00+00:00,149966.9844543827
2022-02-16 00:00:00+00:00,149938.32707950388
2022-02-17 00:00:00+00:00,149888.04400776725
2022-02-18 00:00:00+00:00,149887.84423863637
2022-02-21 00:00:00+00:00,149828.7045916255
2022-02-22 00:00:00+00:00,149905.29552290725
2022-02-23 00:00:00+00:00,150056.25346338563
2022-02-24 00:00:00+00:00,150137.20160721013
2022-02-25 00:00:00+00:00,150154.81596759282
2022-02-28 00:00:00+00:00,150155.7090540609
2022-03-01 00:00:00+00:00,150115.91122579612
2022-03-02 00:00:00+00:00,150061.85521820482
2022-03-03 00:00:00+00:00,149995.86690891866
2022-03-04 00:00:00+00:00,150029.0468264824
2022-03-07 00:00:00+00:00,149956.38274656917
2022-03-08 00:00:00+00:00,150021.1202769542
2022-03-09 00:00:00+00:00,150008.4290575004
2022-03-10 00:00:00+00:00,150038.07962188974
2022-03-11 00:00:00+00:00,150028.1488879907
2022-03-14 00:00:00+00:00,149974.10103204421
2022-03-15 00:00:00+00:00,149907.60248347718
2022-03-16 00:00:00+00:00,149917.0355017242
2022-03-17 00:00:00+00:00,149850.04993274895
2022-03-18 00:00:00+00:00,149794.61333602061
2022-03-21 00:00:00+00:00,149799.8312002109
2022-03-22 00:00:00+00:00,149757.09242233812
2022-03-23 00:00:00+00:00,149700.82257483635
2022-03-24 00:00:00+00:00,149633.0309837485
2022-03-25 00:00:00+00:00,149667.9994150572
2022-03-28 00:00:00+00:00,149663.24940041333
2022-03-29 00:00:00+00:00,149646.7807739168
2022-03-30 00:00:00+00:00,149622.22740922344
2022-03-31 00:00:00+00:00,149572.15848405083
2022-04-01 00:00:00+00:00,149655.9444180035
2022-04-04 00:00:00+00:00,149702.89300488945
2022-04-05 00:00:00+00:00,149795.95371925735
2022-04-06 00:00:00+00:00,149729.17089064076
2022-04-07 00:00:00+00:00,149673.41416526996
2022-04-08 00:00:00+00:00,149599.05763589204
2022-04-11 00:00:00+00:00,149527.86204459026
2022-04-12 00:00:00+00:00,149536.8068818013
2022-04-13 00:00:00+00:00,149492.7029527618
2022-04-14 00:00:00+00:00,149486.0945090998
2022-04-15 00:00:00+00:00,149416.7821896733
2022-04-18 00:00:00+00:00,149388.06443888496
2022-04-19 00:00:00+00:00,149361.67434383516
2022-04-20 00:00:00+00:00,149344.30380851342
2022-04-21 00:00:00+00:00,149408.56852924603
2022-04-22 00:00:00+00:00,149456.3083996425
2022-04-25 00:00:00+00:00,149532.62445450167
2022-04-26 00:00:00+00:00,149480.30890024442
2022-04-27 00:00:00+00:00,149605.50030711794
2022-04-28 00:00:00+00:00,149615.32001351338
2022-04-29 00:00:00+00:00,149563.22267067965
2022-05-02 00:00:00+00:00,149542.72385482007
2022-05-03 00:00:00+00:00,149476.9498755632
2022-05-04 00:00:00+00:00,149660.14711987338
2022-05-05 00:00:00+00:00,149633.3374339749
2022-05-06 00:00:00+00:00,149788.81464671172
2022-05-09 00:00:00+00:00,149783.55923872223
2022-05-10 00:00:00+00:00,149764.1452485151
2022-05-11 00:00:00+00:00,149730.97358298942
2022-05-12 00:00:00+00:00,149783.67319836002
2022-05-13 00:00:00+00:00,149762.29888452817
2022-05-16 00:00:00+00:00,149691.51659362795
2022-05-17 00:00:00+00:00,149633.0098362846
2022-05-18 00:00:00+00:00,149586.39510197396
2022-05-19 00:00:00+00:00,149541.33436172502
2022-05-20 00:00:00+00:00,149566.48057197308
2022-05-23 00:00:00+00:00,149499.2646979036
2022-05-24 00:00:00+00:00,149443.5616181328
2022-05-25 00:00:00+00:00,149376.65376976124
2022-05-26 00:00:00+00:00,149330.82487726456
2022-05-27 00:00:00+00:00,149346.151869363
2022-05-30 00:00:00+00:00,149277.78402280822
2022-05-31 00:00:00+00:00,149270.14056457617
2022-06-01 00:00:00+00:00,149251.6271546593
